Accession	Origin	status
CI7503	1	2
HODONINSKY_KVAS	1	0
DOMEN|CIHO10035	1	0
TYPE5	1	3
EGYPT4SELECTION	0	1
HARAR	1	3
DJEDDAH	1	3
L93	1	3
BR._M.6213-545	1	1
CI13353	1	2
ATLAS68	0	0
EARLY_RUSSIAN	1	3
FERGUS	1	0
RESEARCH|PI146663	1	0
HANACKY_JUBILENI	1	0
HANACKY_IX	1	0
9172	1	2
YABANI_JUT	1	2
LARA	1	0
MEDICUM8955	1	0
AFGHANISTAN600	1	3
391A	1	2
674A	1	2
142A	1	2
1948G	1	2
BELORUSSKIJ18	1	0
1970BA	1	2
GAW138-3	1	2
IV/43	1	2
1271	1	3
JAWO|PI513167|871/2	1	2
2544	1	2
ROJEN	1	0
JERUSALEM_II	1	0
TIMARI	1	0
SAN_BENITO80	1	0
ALEXIS	1	0
DA_MAI	1	0
ALI	1	0
MAGNIF132	1	0
CRUSADER	1	0
ASTACUS	1	0
68-10916	1	1
2560	1	2
FUNDULEA245/64	1	0
65A	1	2
6-8_69|PI349896	1	2
69Z108.179	1	2
MUTANT_ERT1A	1	1
KOMBAJNER	1	0
OMSKIJ13709	1	0
PI344944	1	2
MOR12/5	1	2
MOR7/5	1	2
MOR16/2	1	2
MOR14/2	1	2
LAPINOHRA	1	0
ADOLPHE_BUNGENER	1	0
PULAWSKI267	1	0
IRISH_ARCHER	1	0
KUORETON	1	3
MENUET|PI467789	1	0
PUEBLA|PI467740	1	0
JAREK|PI467834	1	0
PERFEKTA|PI467808	1	0
ETU	1	0
FM434	1	0
ANTARCTICA05	1	0
FM438	1	0
ANTARCTICA04	1	0
KAKAPO	1	0
KYLE	1	0
TRIUMPH	1	0
PUKAKO	1	0
HOR4181	1	2
HALIKKO	1	0
SANTOKU	1	0
HOR4101	1	2
HOR4097	1	2
NAHCIVANDANY	1	0
HOR377	1	2
HOR450	1	2
HOR1385	1	2
HOR1387	1	2
HOR1171	1	2
NOIRE_MAROC	1	3
DROSSENFELDER_FRANKONIA	1	0
MANSHOLTS_TWEERIJIGE	1	0
NIGRICANS	1	3
II-11986-2B-3T-3B	1	1
PI429312	1	2
PI422233	1	2
PI423621	1	0
PI422230	1	2
QB704.3	1	1
PI436143	1	2
PI436154	1	2
PI447207	1	3
STB76	1	1
STB131	1	1
STB32	1	1
STB50	1	1
POLAR	1	0
GOZEN	1	0
CAVEDA	1	3
ZOND	0	1
NAKANAK	1	2
BURAT	1	2
B-71	1	2
MOIRIS	1	3
REIDS_TRIUMPH	0	3
CI2224	0	1
BARI	1	0
CI3581	1	2
CI3694|90b	1	2
CI3709	1	2
3887	1	2
ABI_JOU	1	2
CI4088	1	2
CIERNI_JACMEN	1	0
KAMA_KURO	1	3
SZEKACS_TAK	1	0
B.273-0-26-00A3	1	1
B.217-1503	1	1
RUSSISCHE_GLATTE	1	3
ODESSNIJ17	1	0
ISRAELI121	1	0
WIR11309	1	2
ILINESKIJ43	1	0
EUROPA	1	0
2734	1	3
ESPERANCE	1	0
